,precinct,prediction,observed,date,mae
0,Jayanagar,1.020183135,3,31-01-2015,1.979816865
1,Jayanagar,1.455268789,3,28-02-2015,1.544731211
2,Jayanagar,1.541593084,1,31-03-2015,0.541593084
3,Jayanagar,1.069271876,0,30-04-2015,1.069271876
4,Jayanagar,0.830003079,1,31-05-2015,0.169996921
5,Jayanagar,1.055112571,0,30-06-2015,1.055112571
6,Jayanagar,0.81787522,1,31-07-2015,0.18212478
7,Jayanagar,1.041774214,0,31-08-2015,1.041774214
8,Jayanagar,0.806755357,0,30-09-2015,0.806755357
9,Jayanagar,0.78731935,0,31-10-2015,0.78731935
10,Jayanagar,0.768807172,0,30-11-2015,0.768807172
11,Jayanagar,0.75115411,0,31-12-2015,0.75115411
12,Jayanagar,0.734301267,0,31-01-2016,0.734301267
13,Jayanagar,0.718195246,2,29-02-2016,1.281804754
14,Jayanagar,1.233113399,0,31-03-2016,1.233113399
15,Jayanagar,0.740166654,2,30-04-2016,1.259833346
16,Jayanagar,1.209798516,1,31-05-2016,0.209798516
17,Jayanagar,0.985355563,1,30-06-2016,0.014644437
18,Jayanagar,0.985546697,2,31-07-2016,1.014453303
19,Jayanagar,1.218691574,5,31-08-2016,3.781308426
20,Jayanagar,2.063378524,2,30-09-2016,0.063378524
21,Jayanagar,1.298608846,1,31-10-2016,0.298608846
22,Jayanagar,1.042857556,3,30-11-2016,1.957142444
23,Jayanagar,1.565615247,3,31-12-2016,1.434384753
24,Jayanagar,1.622869834,2,31-01-2017,0.377130166
25,Jayanagar,1.362049744,2,28-02-2017,0.637950256
26,Jayanagar,1.37331406,0,31-03-2017,1.37331406
27,Jayanagar,0.808041469,3,30-04-2017,2.191958531
28,Jayanagar,1.613152104,0,31-05-2017,1.613152104
29,Jayanagar,0.856157761,1,30-06-2017,0.143842239
30,Jayanagar,1.090889369,0,31-07-2017,1.090889369
31,Jayanagar,0.846109284,1,31-08-2017,0.153890716
32,Jayanagar,1.080553273,0,30-09-2017,1.080553273
33,Jayanagar,0.836675856,2,31-10-2017,1.163324144
34,Jayanagar,1.305686027,1,30-11-2017,0.305686027
35,Jayanagar,1.078734116,1,31-12-2017,0.078734116
36,Jayanagar,1.077905348,0,31-01-2018,1.077905348
37,Jayanagar,0.844085791,0,28-02-2018,0.844085791
38,Jayanagar,0.829114087,1,31-03-2018,0.170885913
39,Jayanagar,1.059469069,5,30-04-2018,3.940530931
40,Jayanagar,2.002402107,0,31-05-2018,2.002402107
41,Jayanagar,0.904273724,4,30-06-2018,3.095726276
42,Jayanagar,1.593737149,2,31-07-2018,0.406262851
43,Jayanagar,1.284872895,0,31-08-2018,1.284872895
44,Jayanagar,0.947579088,1,30-09-2018,0.052420912
45,Jayanagar,1.107754848,0,31-10-2018,1.107754848
46,Jayanagar,0.937175039,0,30-11-2018,0.937175039
47,Jayanagar,0.922128607,0,31-12-2018,0.922128607
48,Jayanagar,0.90756096,0,31-01-2019,0.90756096
49,Jayanagar,0.893449356,0,28-02-2019,0.893449356
50,Jayanagar,0.879772696,1,31-03-2019,0.120227304
51,Jayanagar,1.062601184,0,30-04-2019,1.062601184
52,Jayanagar,0.871693139,0,31-05-2019,0.871693139
53,Jayanagar,0.858823616,0,30-06-2019,0.858823616
54,Jayanagar,0.846330841,0,31-07-2019,0.846330841
55,Jayanagar,0.834198557,0,31-08-2019,0.834198557
56,Jayanagar,0.822411209,1,30-09-2019,0.177588791
57,Jayanagar,1.02404189,0,31-10-2019,1.02404189
58,Jayanagar,0.816099011,1,30-11-2019,0.183900989
0,Katriguppe,1.730599531,3,31-01-2015,1.269400469
1,Katriguppe,2.092982494,2,28-02-2015,0.092982494
2,Katriguppe,1.922730584,3,31-03-2015,1.077269416
3,Katriguppe,2.108655339,1,30-04-2015,1.108655339
4,Katriguppe,1.758601746,1,31-05-2015,0.758601746
5,Katriguppe,1.744292294,1,30-06-2015,0.744292294
6,Katriguppe,1.730515786,0,31-07-2015,1.730515786
7,Katriguppe,1.523093958,1,31-08-2015,0.523093958
8,Katriguppe,1.687972767,3,30-09-2015,1.312027233
9,Katriguppe,2.061906456,1,31-10-2015,1.061906456
10,Katriguppe,1.700101915,3,30-11-2015,1.299898085
11,Katriguppe,2.053419681,3,31-12-2015,0.946580319
12,Katriguppe,2.071957902,3,31-01-2016,0.928042098
13,Katriguppe,2.089778693,6,29-02-2016,3.910221307
14,Katriguppe,2.743428953,0,31-03-2016,2.743428953
15,Katriguppe,1.631952329,1,30-04-2016,0.631952329
16,Katriguppe,1.768551062,2,31-05-2016,0.231448938
17,Katriguppe,1.925348861,1,30-06-2016,0.925348861
18,Katriguppe,1.760753933,2,31-07-2016,0.239246067
19,Katriguppe,1.916424203,6,31-08-2016,4.083575797
20,Katriguppe,2.582067747,3,30-09-2016,0.417932253
21,Katriguppe,2.13283084,2,31-10-2016,0.13283084
22,Katriguppe,1.971322438,5,30-11-2016,3.028677562
23,Katriguppe,2.487308278,10,31-12-2016,7.512691722
24,Katriguppe,4.007391808,1,31-01-2017,3.007391808
25,Katriguppe,1.897481803,0,28-02-2017,1.897481803
26,Katriguppe,1.692984654,2,31-03-2017,0.307015346
27,Katriguppe,2.049206156,4,30-04-2017,1.950793844
28,Katriguppe,2.419884119,0,31-05-2017,2.419884119
29,Katriguppe,1.722648031,4,30-06-2017,2.277351969
30,Katriguppe,2.367624883,1,31-07-2017,1.367624883
31,Katriguppe,1.91528227,3,31-08-2017,1.08471773
32,Katriguppe,2.20637854,3,30-09-2017,0.79362146
33,Katriguppe,2.216776405,0,31-10-2017,2.216776405
34,Katriguppe,1.784639945,1,30-11-2017,0.784639945
35,Katriguppe,1.906337211,0,31-12-2017,1.906337211
36,Katriguppe,1.73685448,2,31-01-2018,0.26314552
37,Katriguppe,2.02788856,0,28-02-2018,2.02788856
38,Katriguppe,1.721525829,3,31-03-2018,1.278474171
39,Katriguppe,2.15632046,1,30-04-2018,1.15632046
40,Katriguppe,1.875438471,0,31-05-2018,1.875438471
41,Katriguppe,1.713953618,0,30-06-2018,1.713953618
42,Katriguppe,1.67987787,1,31-07-2018,0.67987787
43,Katriguppe,1.81685934,3,31-08-2018,1.18314066
44,Katriguppe,2.125708323,1,30-09-2018,1.125708323
45,Katriguppe,1.823076301,0,31-10-2018,1.823076301
46,Katriguppe,1.652911857,0,30-11-2018,1.652911857
47,Katriguppe,1.622003442,3,31-12-2018,1.377996558
48,Katriguppe,2.098181561,0,31-01-2019,2.098181561
49,Katriguppe,1.638861778,0,28-02-2019,1.638861778
50,Katriguppe,1.609351961,2,31-03-2019,0.390648039
51,Katriguppe,1.917446138,0,30-04-2019,1.917446138
52,Katriguppe,1.600134582,1,31-05-2019,0.600134582
53,Katriguppe,1.742552007,0,30-06-2019,1.742552007
54,Katriguppe,1.567700669,0,31-07-2019,1.567700669
55,Katriguppe,1.54128458,1,31-08-2019,0.54128458
56,Katriguppe,1.698061283,3,30-09-2019,1.301938717
57,Katriguppe,2.037695098,4,31-10-2019,1.962304902
58,Katriguppe,2.2291436,5,30-11-2019,2.7708564
59,Katriguppe,2.464531199,1,31-12-2019,1.464531199
0,Jayanagar 4th Block,1.875532229,4,31-01-2015,2.124467771
1,Jayanagar 4th Block,2.211257953,0,28-02-2015,2.211257953
2,Jayanagar 4th Block,0.806445669,1,31-03-2015,0.193554331
3,Jayanagar 4th Block,1.085294647,2,30-04-2015,0.914705353
4,Jayanagar 4th Block,1.372263355,2,31-05-2015,0.627736645
5,Jayanagar 4th Block,1.389723491,2,30-06-2015,0.610276509
6,Jayanagar 4th Block,1.406227346,0,31-07-2015,1.406227346
7,Jayanagar 4th Block,0.827695916,1,31-08-2015,0.172304084
8,Jayanagar 4th Block,1.101287698,1,30-09-2015,0.101287698
9,Jayanagar 4th Block,1.099755823,0,31-10-2015,1.099755823
10,Jayanagar 4th Block,0.813719163,1,30-11-2015,0.186280837
11,Jayanagar 4th Block,1.086297437,3,31-12-2015,1.913702563
12,Jayanagar 4th Block,1.644897451,1,31-01-2016,0.644897451
13,Jayanagar 4th Block,1.106100721,1,29-02-2016,0.106100721
14,Jayanagar 4th Block,1.104604987,1,31-03-2016,0.104604987
15,Jayanagar 4th Block,1.103150967,1,30-04-2016,0.103150967
16,Jayanagar 4th Block,1.101736823,0,31-05-2016,1.101736823
17,Jayanagar 4th Block,0.834884652,0,30-06-2016,0.834884652
18,Jayanagar 4th Block,0.812183658,0,31-07-2016,0.812183658
19,Jayanagar 4th Block,0.790698062,0,31-08-2016,0.790698062
20,Jayanagar 4th Block,0.77033223,1,30-09-2016,0.22966777
21,Jayanagar 4th Block,1.056352283,1,31-10-2016,0.056352283
22,Jayanagar 4th Block,1.055644085,1,30-11-2016,0.055644085
23,Jayanagar 4th Block,1.054953414,2,31-12-2016,0.945046586
24,Jayanagar 4th Block,1.34666888,1,31-01-2017,0.34666888
25,Jayanagar 4th Block,1.062479213,0,28-02-2017,1.062479213
26,Jayanagar 4th Block,0.772976597,0,31-03-2017,0.772976597
27,Jayanagar 4th Block,0.754524687,1,30-04-2017,0.245475313
28,Jayanagar 4th Block,1.043325289,1,31-05-2017,0.043325289
29,Jayanagar 4th Block,1.042825452,4,30-06-2017,2.957174548
30,Jayanagar 4th Block,1.923724627,2,31-07-2017,0.076275373
31,Jayanagar 4th Block,1.362022787,3,31-08-2017,1.637977213
32,Jayanagar 4th Block,1.695357628,2,30-09-2017,0.304642372
33,Jayanagar 4th Block,1.403619017,0,31-10-2017,1.403619017
34,Jayanagar 4th Block,0.789586622,2,30-11-2017,1.210413378
35,Jayanagar 4th Block,1.378484178,0,31-12-2017,1.378484178
36,Jayanagar 4th Block,0.814590872,2,31-01-2018,1.185409128
37,Jayanagar 4th Block,1.354215926,2,28-02-2018,0.645784074
38,Jayanagar 4th Block,1.36602228,2,31-03-2018,0.63397772
39,Jayanagar 4th Block,1.377401106,2,30-04-2018,0.622598894
40,Jayanagar 4th Block,1.388375555,2,31-05-2018,0.611624445
41,Jayanagar 4th Block,1.398966753,2,30-06-2018,0.601033247
42,Jayanagar 4th Block,1.409194639,0,31-07-2018,1.409194639
43,Jayanagar 4th Block,0.84199727,0,31-08-2018,0.84199727
44,Jayanagar 4th Block,0.824241267,0,30-09-2018,0.824241267
45,Jayanagar 4th Block,0.807225339,0,31-10-2018,0.807225339
46,Jayanagar 4th Block,0.790903819,1,30-11-2018,0.209096181
47,Jayanagar 4th Block,1.08921016,0,31-12-2018,1.08921016
48,Jayanagar 4th Block,0.78381986,0,31-01-2019,0.78381986
49,Jayanagar 4th Block,0.768676341,0,28-02-2019,0.768676341
50,Jayanagar 4th Block,0.754111812,0,31-03-2019,0.754111812
51,Jayanagar 4th Block,0.740093559,0,30-04-2019,0.740093559
52,Jayanagar 4th Block,0.726591289,1,31-05-2019,0.273408711
53,Jayanagar 4th Block,1.051555103,1,30-06-2019,0.051555103
54,Jayanagar 4th Block,1.051092899,0,31-07-2019,1.051092899
55,Jayanagar 4th Block,0.721310948,0,31-08-2019,0.721310948
56,Jayanagar 4th Block,0.708739468,4,30-09-2019,3.291260532
0,Karisandra Ward,3.703661364,11,31-01-2015,7.296338636
